"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","34","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","113","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","44","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","26","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","26","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","49","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","22","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","38","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
"","85","Successful get user","API","2026-09-02","passed","2026-09-02","Positive","GET /users{user_id}","",""
"","83","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","65","Successful create user","API","2026-09-02","passed","2026-09-02","Positive","POST /users","",""
"","134","Get user with invalid user id","API","2026-09-02","passed","2026-09-02","Negative","GET /users{user_id}","",""
"","26","Create user with invalid email","API","2026-09-02","passed","2026-09-02","Negative","POST /users","",""
